Category,Question,Answer,Links
,Are there shuttle services available on campus?,"Yes, shuttle services are available to transport students around campus and to nearby off-campus locations.",
,What are the parking regulations on campus?,"Parking regulations, including designated parking areas and permit requirements, are outlined on the transportation office's website.",
,Can I rent a bike on campus?,"Yes, bike rentals are available through the university's bike-sharing program.",
,How do I appeal a parking ticket?,Parking ticket appeals can be submitted online through the transportation office's website.,
,Is there accessible transportation for students with disabilities?,Accessible transportation services are available by request through the transportation office.,
,How do I find the bus schedule for campus shuttles?,Bus schedules are available online on the transportation office's website and via the university's mobile app.,
,Where can I park my bike on campus?,"Bike racks are available at multiple locations across campus, including near academic buildings and residence halls.",
IT and Digital Services,How do I reset my university email password?,Passwords can be reset through the university's IT support portal or by contacting the IT help desk.,
,What software is available for students to download?,"The university offers free downloads of software such as Microsoft Office, Adobe Creative Cloud, and antivirus programs.",
,How do I connect to campus Wi-Fi?,Campus Wi-Fi can be accessed by selecting the network and logging in with your student credentials.,
,Are there computer labs available for students?,"Yes, computer labs with printing and scanning facilities are available in several campus buildings.",
,How do I report an IT issue?,IT issues can be reported online through the IT help desk portal or by visiting the IT support office.,
,What digital learning tools are provided by the university?,"The university provides access to learning management systems like Moodle, Canvas, or Blackboard, as well as digital libraries and research databases.",
,How do I access my student email?,Student email can be accessed via the university's webmail portal or through email clients using the provided IMAP/SMTP settings.,
,Are there online resources for learning new software?,"Yes, the university offers online tutorials, workshops, and access to platforms like LinkedIn Learning for skill development.",
IT and Digital Services,How do I access the virtual computer labs?,Virtual computer labs can be accessed through the university's VPN and remote desktop services.,
,What is the process for printing documents on campus?,Documents can be printed at designated printing stations by logging in with your student ID or through mobile printing services.,
,How do I update my contact information in the university's system?,Contact information can be updated through the student portal under personal details or by contacting the registrar's office.,
,How do I set up two-factor authentication for my student account?,Two-factor authentication can be set up through the IT services portal by following the provided instructions.,
,Are there discounts available for purchasing software?,"Yes, students can purchase software at discounted rates through the university's partnership with various software vendors.",
,How do I get help with setting up my personal devices?,"The IT help desk offers assistance with setting up personal devices, including laptops and mobile phones, for campus services.",
,What cybersecurity resources are available to students?,"The university provides cybersecurity awareness training, antivirus software, and guidelines for safe online practices.",
Campus Life and Student Organizations,What student organizations are available on campus?,"The campus hosts a variety of student organizations, including academic clubs, cultural associations, and special interest groups.",
,How do I join a student organization?,"Students can join organizations by attending club fairs, contacting club leaders, or signing up through the student activities portal.",
,Are there leadership opportunities within student organizations?,"Yes, many organizations offer leadership roles such as president, vice president, treasurer, and event coordinator.",
,What types of events do student organizations host?,"Events include social gatherings, workshops, guest lectures, cultural festivals, and community service projects.",
,How do I start a new student organization?,"To start a new organization, students must submit a proposal to the student activities office and gather a minimum number of members.",
,Are there mentoring programs available for new students?,"Yes, several organizations offer peer mentoring programs to help new students acclimate to campus life.",
,What is the process for booking a space for student events?,Event spaces can be booked through the campus event management system or by contacting the student activities office.,
,How can I get involved in community service on campus?,"Community service opportunities are available through student organizations, the community outreach office, and volunteer fairs.",
,Are there opportunities for international students to get involved on campus?,"Yes, the university has international student associations, cultural exchange programs, and events celebrating global diversity.",
,How do I access funding for student organization activities?,Funding requests can be submitted to the student government association or through the student activities funding board.,
Career Services,What services are offered by the career center?,"The career center provides career counseling, resume reviews, job search assistance, and internship placement services.",
,How do I schedule an appointment with a career advisor?,Appointments can be scheduled online through the career center's portal or by visiting the center in person.,
,Are there on-campus job opportunities for students?,"Yes, on-campus jobs are available through the work-study program and various departments hiring student workers.",
,How do I access the university's job board?,The job board can be accessed through the career center's website or the student portal.,
,What resources are available for preparing for job interviews?,"Resources include mock interviews, interview preparation workshops, and online guides available through the career center.",
,Does the career center offer networking events?,"Yes, the career center hosts networking events, career fairs, and employer meet-and-greets throughout the year.",
,How can I get help with my LinkedIn profile?,LinkedIn profile reviews and workshops are available through the career center's services.,
,Are there internship opportunities available through the university?,The university partners with various companies and organizations to offer internships across different fields.,
,How do I find out about upcoming career fairs?,Information about upcoming career fairs is available on the career center's website and through campus-wide email announcements.,
,What resources are available for graduate school applications?,"The career center offers graduate school advising, application workshops, and personal statement reviews.",
,All academics,"Includes all academic programs offered at the university, covering undergraduate, postgraduate, and doctoral levels.",https://eternaluniversity.edu.in/Academics
,UG programs avaialable,Undergraduate programs that provide foundational education in various fields of study.,https://eternaluniversity.edu.in/CategoryCourses?coursecategory=undergraduate
,PG Programs available ,Postgraduate programs that offer specialized education and research opportunities in specific fields.,https://eternaluniversity.edu.in/CategoryCourses?coursecategory=postgraduate
,Doctorate Programs available,"Doctoral-level programs focused on advanced research and expertise in specific subjects, culminating in a Ph.D. or similar degree.",https://eternaluniversity.edu.in/CategoryCourses?coursecategory=doctorate
,B.Sc (Hons.) agriculture,"Focuses on agricultural sciences, crop management, and farming techniques.",https://etern+D366:D386aluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fundergraduate%2Fbsc-hons-agriculture
,B.Tech Food tech,"Covers food production, processing, and preservation technologies.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fundergraduate%2Fbtech-food-technology
,M.Sc Biotechnology,"Focuses on the application of biology in industries like healthcare, agriculture, and environmental science.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-biotechnology
,M.Sc Food science and tech,"Covers food science, quality control, and food safety.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-food-science-technology
,M.Sc .Ag.Agronomy,"Focuses on soil management, crop production, and sustainable farming techniques.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-ag-agronomy
,M.Sc (Hoticulture) Vegetable sci,"Covers vegetable production, crop management, and pest control.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-agriculture-horticulture-vegetable-science
,M.Sc (Hoticulture) Fruit science,"Focuses on fruit cultivation, post-harvest technologies, and fruit crop management.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-ag-horticulture-fruit-science
,M.Sc Hoticulture(Floriculture & landscape architecture,"Focuses on the science of flower production, landscaping design, and the application of these in urban planning.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-ag-hort-floriculture-landscape-archi
,M.Sc. Ag.  Genetics and plant breeding,"Covers the genetic improvement of crops, focusing on breeding techniques for better yields and disease resistance.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-ag-genetics-plant-breeding
,M.Sc. Ag. Plant pathology,Focuses on the study of plant diseases and their management in agriculture.,https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-ag-plant-pathology
,M.Sc. Ag. Entomology,Covers the study of insects and other pests in relation to their impact on crops and methods of pest control.,https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-ag-entomology
,M.Sc. Agriculture (Agricultural eco.),"Focuses on the application of economic principles to agriculture, including resource management and rural development.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-agriculture-agricultural-eco
,M.Tech. Food Technology ,"A specialized program in food technology focusing on food processing, preservation, and safety techniques.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmtech-food-technology
,M.Sc. Ag. Agriculture Extension,"Focuses on the extension of agricultural knowledge to farmers and communities, improving farming practices.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-agriculture-extension
,M.Sc. Ag. Soil Science,"Covers the study of soil health, fertility, and management practices to enhance agricultural productivity.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-ag-soil-science
,PH.D. Biotechnology,A doctoral program focusing on advanced research in biotechnology and its applications in agriculture and industry.,https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fdoctorate%2Fbiotech-phd-thesis
,PH.D. Food Technology,"A doctoral program focused on research in food technology, including innovations in food safety and processing.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fdoctorate%2Fphd-food-technology
,PH.D. Entomology,"A doctoral program focused on research in entomology, specifically related to pest management and crop protection.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fdoctorate%2Fphd-entomology
,PH.D. Horticulture (Vegetable science),"A doctoral program in horticulture with a focus on vegetable science, covering areas like crop production and pest management.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fdoctorate%2Fphd-horticulture-vegetable-science
,PH.D. Agronomy,"A doctoral program in agronomy focusing on soil management, crop production, and sustainable agricultural practices.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fdoctorate%2Fphd-agronomy
,PH.D. Genetice and plant breeding,A doctoral program in genetics and plant breeding focusing on improving crop varieties and enhancing agricultural productivity.,https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fdoctorate%2Fphd-genetics-plant-breeding
,B.Tech CSE,"A specialized undergraduate program in computer science and engineering, covering programming, algorithms, and software development.",https://eternaluniversity.edu.in/Course?course=akal-college-of-engineering-and-technology%2Fundergraduate%2Fbtech-cse
,B.Tech CSE Lateral/migrated,"A lateral entry program for students who have completed a diploma in computer science, focusing on advanced software development and engineering concepts.",https://eternaluniversity.edu.in/Course?course=akal-college-of-engineering-and-technology%2Fundergraduate%2Fb-tech-CSE-lateral-migrated
,BCA,"A program that focuses on the fundamentals of computer applications, programming, and software development.",https://eternaluniversity.edu.in/Course?course=akal-college-of-engineering-and-technology%2Fundergraduate%2Fbca
,M.Tech CSE,"A postgraduate program in computer science and engineering, focusing on advanced topics like algorithms, machine learning, and software engineering.",https://eternaluniversity.edu.in/Course?course=akal-college-of-engineering-and-technology%2Fpostgraduate%2Fmtech-cse
,PH.D. CSE,"A doctoral program focusing on research in computer science and engineering, including areas like artificial intelligence, data structures, and systems development.",https://eternaluniversity.edu.in/Course?course=akal-college-of-engineering-and-technology%2Fdoctorate%2Fphd-cse
,B.Sc. (Hons. with research) Life Sciences,"An undergraduate program offering research opportunities in life sciences, covering fields like biology, ecology, and biochemistry.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fundergraduate%2Fbsc-medical
,B.Sc. (Hons. with research) Physical Sciences,"An undergraduate program offering research opportunities in physical sciences, including physics, chemistry, and mathematics.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fundergraduate%2Fbsc-non-medical
,B.Sc. (Hons. with research) Microbiology,"An undergraduate program in microbiology that includes research into microorganisms, their properties, and their applications.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fundergraduate%2Fbsc-hons-microbiology
,M.Sc. Mathematics,"A postgraduate program in mathematics focusing on pure and applied mathematics, including algebra, calculus, and number theory.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fpostgraduate%2Fmsc-mathematics
,M.Sc. Chemistry ,"A postgraduate program in chemistry covering topics like organic, inorganic, physical, and analytical chemistry.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fpostgraduate%2Fmsc-chemistry
,M.Sc. Physics,"A postgraduate program in physics focusing on theoretical and experimental physics, including quantum mechanics and relativity.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fpostgraduate%2Fmsc-physics
,M.Sc. Botany,"A postgraduate program in botany focusing on plant biology, ecology, and plant pathology.",https://eternaluniversity.edu.in/Course?course=dr-khem-singh-gill-akal-college-of-agriculture%2Fpostgraduate%2Fmsc-botany
,M.Sc. Zoology,"A postgraduate program in zoology covering animal biology, physiology, ecology, and evolutionary studies.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fpostgraduate%2Fmsc-zoology
,M.Sc. Microbiology,"A postgraduate program in microbiology focusing on the study of microorganisms and their roles in health, disease, and the environment.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fpostgraduate%2Fmsc-microbiology-degree
,PH.D. Mathematics,A doctoral program in mathematics focusing on advanced research in theoretical and applied mathematics.,https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fdoctorate%2Fphd-mathematics
,PH.D. Chemistry,"A doctoral program in chemistry focusing on in-depth research in various branches of chemistry like organic, inorganic, and materials science.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fdoctorate%2Fphd-chemistry
,PH.D. Physics,A doctoral program in physics focusing on research in advanced physical theories and experiments in various physics fields.,https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fdoctorate%2Fphd-physics
,PH.D. botony,"A doctoral program in botany focusing on plant research, including genetics, ecology, and plant development.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fdoctorate%2Fphd-botany
,PH.D. Zoology,"A doctoral program in zoology focusing on research in animal biology, ecology, behavior, and conservation.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fdoctorate%2Fphd-zoology
,PH.D. Microbiology,"A doctoral program in microbiology focusing on advanced research in the study of microorganisms and their applications in health, industry, and the environment.",https://eternaluniversity.edu.in/Course?course=akal-college-of-basic-sciences%2Fdoctorate%2Fphd-microbiology
,B.ED.,"A program designed to prepare students for teaching careers, focusing on educational theory, classroom management, and pedagogical skills.",https://eternaluniversity.edu.in/Course?course=akal-college-of-education%2Fundergraduate%2Fbed
,B.Sc. (Hons. With research) Economics,"An undergraduate program with research opportunities in economics, focusing on topics like microeconomics, macroeconomics, and econometrics.",https://eternaluniversity.edu.in/Course?course=akal-college-of-economics-commerce-management%2Fundergraduate%2Fbsc-hons-economics
,B.Com (Hons with research) ,"An undergraduate program focusing on commerce, covering areas like accounting, finance, economics, and business law.",https://eternaluniversity.edu.in/Course?course=akal-college-of-economics-commerce-management%2Fundergraduate%2Fbcom-hons
,BBA (Hons. With research),"An undergraduate program with research opportunities in business administration, focusing on management principles, marketing, and organizational behavior.",https://eternaluniversity.edu.in/Course?course=akal-college-of-economics-commerce-management%2Fundergraduate%2Fbba
,MA/M.Sc. Economics,"A postgraduate program in economics focusing on advanced topics in economic theory, policy, and quantitative analysis.",https://eternaluniversity.edu.in/Course?course=akal-college-of-economics-commerce-management%2Fpostgraduate%2Fma-msc-economics
,MBA,"A postgraduate program in business administration focusing on management, leadership, entrepreneurship, and organizational behavior.",https://eternaluniversity.edu.in/Course?course=akal-college-of-economics-commerce-management%2Fpostgraduate%2Fmba
,M.Com,"A postgraduate program in commerce that covers advanced topics in accounting, finance, business law, and management.",https://eternaluniversity.edu.in/Course?course=akal-college-of-economics-commerce-management%2Fpostgraduate%2Fm-com
,PH.D. Economics,"A doctoral program in economics focusing on advanced research in economic theory, policy, and applied economics.",https://eternaluniversity.edu.in/Course?course=akal-college-of-economics-commerce-management%2Fdoctorate%2Fphd-economics
,PH.D. Management,"A doctoral program in management focusing on advanced research in business, organizational theory, and leadership strategies.",https://eternaluniversity.edu.in/Course?course=akal-college-of-economics-commerce-management%2Fdoctorate%2Fphd-management
,PH.D. commerce,"A doctoral program in commerce focusing on research in accounting, finance, economics, and business management.",https://eternaluniversity.edu.in/Course?course=akal-college-of-economics-commerce-management%2Fdoctorate%2Fphd-commerce
,B.A. (Hons. With research) music,"An undergraduate program in music offering research opportunities in areas like theory, composition, and performance.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fundergraduate%2Fba-hons-music
,B.A. (Hons. With research) liberal arts,"An undergraduate program in liberal arts offering research opportunities in diverse disciplines, including humanities, social sciences, and fine arts.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fundergraduate%2Fba-humanities
,B.lib.,"A program that prepares students to work in libraries, focusing on information management, archival studies, and digital resources.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fundergraduate%2Fb-lib
,B.Sc. (Hons. With research) psychology,"An undergraduate program in psychology offering research opportunities in areas like cognitive, behavioral, and clinical psychology.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fundergraduate%2FBSc-Hons-Psychology
,M.A. Music,"A postgraduate program in music, focusing on music theory, history, performance, and composition.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fpostgraduate%2Fma-music
,M.Sc. Psychology,"A postgraduate program in psychology focusing on research in clinical, experimental, or organizational psychology.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fpostgraduate%2Fmsc-psychology
,M.A. English,"A postgraduate program in English focusing on literature, linguistics, writing, and cultural studies.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fpostgraduate%2Fma-english
,M.A.(Hons.) Punjabi,"A postgraduate program in Punjabi focusing on the language, literature, and cultural studies of Punjab.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fpostgraduate%2Fma-hons-punjabi
,M.A. Education,"A postgraduate program in education focusing on educational theories, policies, teaching strategies, and leadership in education.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fpostgraduate%2Fma-education
,PH.D. Music,"A doctoral program in music focusing on advanced research in music theory, performance, composition, and history.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fdoctorate%2Fphd-music
,PH.D. Punjabi,"A doctoral program in Punjabi focusing on advanced research in Punjabi language, literature, and cultural heritage.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fdoctorate%2Fphd-punjabi
,PH.D. Psychology,"A doctoral program in psychology focusing on advanced research in psychological theories, clinical practices, and behavioral studies.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fdoctorate%2Fphd-psychology
,PH.D. Education,"A doctoral program in education focusing on research in educational methods, policies, and leadership.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fdoctorate%2Fphd-education
,PH.D. English,"A doctoral program in English focusing on advanced research in literature, linguistics, and critical theory.",https://eternaluniversity.edu.in/Course?course=akal-college-of-arts-social-sciences%2Fdoctorate%2Fphd-english
,B.Sc Nursing,"A nursing program that trains students in providing healthcare, focusing on clinical practices, patient care, and medical ethics.",https://eternaluniversity.edu.in/Course?course=akal-college-health-allied-sciences%2Fundergraduate%2Fbsc-nursing
,Certificate Course on Counseling (Mental Health & Substance Abuse),A short-term certificate course focusing on counseling techniques for mental health issues and substance abuse.,https://eternaluniversity.edu.in/Course?course=akal-college-health-allied-sciences%2Fundergraduate%2Fcertificate-course-on-Counseling-Mental-Health-Substance-Abuse
,Certificate course on geriatric care assistant,"A short-term certificate course preparing students to provide care for the elderly, focusing on geriatric health and assistance.",https://eternaluniversity.edu.in/Course?course=akal-college-health-allied-sciences%2Fundergraduate%2Fcertificate-course-in-eriatric-care-assistant
,M.Sc. Nursing,"A postgraduate program in nursing focusing on advanced nursing practices, healthcare leadership, and patient care management.",https://eternaluniversity.edu.in/Course?course=akal-college-health-allied-sciences%2Fpostgraduate%2Fmsc-nursing
,MPH,"A postgraduate program focusing on public health policy, epidemiology, healthcare systems, and preventive medicine.",https://eternaluniversity.edu.in/Course?course=akal-college-health-allied-sciences%2Fpostgraduate%2Fmph
,PH.D. Nursing,"A doctoral program in nursing focusing on advanced research in healthcare, patient care, and nursing education.",https://eternaluniversity.edu.in/Course?course=akal-college-health-allied-sciences%2Fdoctorate%2Fphd-nursing
,All courses available in dr. khem singh gill college of agriculture,"Offers a range of programs in agricultural sciences, including B.Sc. and M.Sc. degrees in areas like agronomy, horticulture, and food technology.",https://eternaluniversity.edu.in/CollegeCourses?collegename=dr-khem-singh-gill-akal-college-of-agriculture
,All courses available in Akal college of Enginnering and technology,"Includes undergraduate and postgraduate programs in engineering disciplines like computer science, mechanical, and civil engineering.",https://eternaluniversity.edu.in/CollegeCourses?collegename=akal-college-engineering-technology
,All courses available in Akal college of basic sciences,"Offers programs in basic sciences like physics, chemistry, mathematics, and biology at both undergraduate and postgraduate levels.",https://eternaluniversity.edu.in/CollegeCourses?collegename=akal-college-basic-sciences
,All courses available in akal college of alliged sciences,"Offers courses related to health sciences, social work, and applied sciences, preparing students for careers in these fields.",https://eternaluniversity.edu.in/CollegeCourses?collegename=akal-college-health-allied-sciences
,All courses available in akal college of Education,"Provides programs focused on educational theory, teaching methods, and educational leadership, preparing students for careers in education.",https://eternaluniversity.edu.in/CollegeCourses?collegename=akal-college-education
,"All courses available in Akal college of economics,commerce and management ","Offers undergraduate and postgraduate programs in economics, commerce, and business administration.",https://eternaluniversity.edu.in/CollegeCourses?collegename=akal-college-eco-comm-management
,All couses available in Akal college of Arts and social sciences,"Offers programs in humanities, social sciences, and arts, including literature, sociology, psychology, and history.",https://eternaluniversity.edu.in/CollegeCourses?collegename=akal-college-arts-social-sciences
,Info about vice-chancellor,"The Vice-Chancellor is the highest academic and administrative officer in the university, overseeing all academic and research activities.",https://eternaluniversity.edu.in/content/vice-chancellors-message
,Info aboutPro  vice-chancellor,The Pro Vice-Chancellor assists the Vice-Chancellor in administrative duties and often oversees specific faculties or campuses.,https://eternaluniversity.edu.in/content/pro-vice-chancellors-message
,info about all deparments hod's,"HODs are responsible for managing their respective academic departments, overseeing faculty, and ensuring academic standards are maintained.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Departments&Centres.pdf
,overall information about dr. khem singh college of agriculture,"Dr. Khem Singh Gill College is an agricultural college offering a variety of undergraduate and postgraduate programs in agriculture, food science, and related fields.",https://eternaluniversity.edu.in/college/aca
,overall information about acet/Akal college of Enginnering and technology,"ACET is an engineering college offering programs in various engineering disciplines, focusing on technical education and innovation.",https://eternaluniversity.edu.in/college/acet
,overall information about acbs/Akal college of basic sciences,"ACBS provides foundational education in basic sciences, offering courses in subjects like physics, chemistry, biology, and mathematics.",https://eternaluniversity.edu.in/college/acbs
,overall information about achas/akal college of alliged sciences,"ACHAS focuses on applied sciences and healthcare-related programs, preparing students for careers in medical, health, and social service fields.",https://eternaluniversity.edu.in/college/achas
,overall information about ace/akal college of Education,"ACE offers programs in education, preparing future educators with a comprehensive understanding of teaching methods and educational leadership.",https://eternaluniversity.edu.in/college/ace
,overall information about acecm/Akal college of economics,"ACECM offers undergraduate and postgraduate programs in business, commerce, and economics, focusing on management, finance, and entrepreneurial skills.",https://eternaluniversity.edu.in/college/acecm
,overall information about acass/Akal college of Arts and social sciences,"ACASS provides programs in arts and social sciences, focusing on humanities, social sciences, and liberal arts, with research opportunities in various disciplines.",https://eternaluniversity.edu.in/college/acass
,information about uni-management," Includes details on the governing body, administrative structure, and leadership of the university.",https://eternaluniversity.edu.in/content/university-management
,photo gallery," A collection of images showcasing campus life, events, academic activities, and infrastructure at the university.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Photo_Galary_11zon.pdf
,info about minutes and index of meeting," Documentation of meeting discussions, decisions, and action points from university management and academic meetings.",https://eternaluniversity.edu.in/content/Index-and-Minutes-of-Meeting
,all faculty list," A comprehensive list of all academic faculty members, including their qualifications, areas of expertise, and contact details.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/FACULTYLIST-24.pdf
,student guide," A guide providing essential information for students, including campus services, rules, regulations, and academic policies.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/EUStudentsGuide-final(18.8.2021).pdf
,Status of EU," Information on the current standing and progress of Eternal University, including academic achievements and growth.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/Statue%20of%20Eternal%20University.pdf
,EU Acts," The set of rules, laws, and regulations that govern the functioning of the university.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/AmendedAct2009.pdf
,ICAR ACCREDIATIONS," Information on the accreditation received from the Indian Council of Agricultural Research, ensuring quality standards in agricultural education.",https://eternaluniversity.edu.in/docs/ICARAccrediation.jpeg
,AISHE,A government initiative that monitors and collects data on higher education institutions in India.,https://eternaluniversity.edu.in/docs/AISHE2022-23.jpeg
,HPPERC, Governing body that regulates private educational institutions in Himachal Pradesh.,chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/HP_PERC.pdf
,HP Government notification, Notifications or orders issued by the Government of Himachal Pradesh regarding university policies or guidelines.,chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/HPGovtNotification.jpeg.pdf
,NAAC Accrediation," Information about the accreditation received from the National Assessment and Accreditation Council, reflecting the university�s quality of education.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/30thSC-1stcycle.pdf
,ISO 9001 2015 Certification, Details about the university's certification for maintaining quality management standards as per ISO 9001:2015.,https://eternaluniversity.edu.in/docs/iso.jpg
,SIRO, Accreditation and support for scientific research and development within the university.,https://eternaluniversity.edu.in/docs/siro.jpg
,UGC," Information on the university�s recognition and grants from the University Grants Commission, a key body for higher education in India.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/UGC.pdf
,information about annual reports," The university�s yearly report that includes financial performance, key achievements, and academic developments.",https://eternaluniversity.edu.in/content/annualreports
,Annual accounts," A detailed statement of the university�s finances, including income, expenditure, and funding sources for the year.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/AnnualBalanceSheet2022-23.pdf
,About us overview," A general description of the university�s mission, vision, history, and its contribution to higher education.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/AboutUsOverview(1).pdf
,who is sponsoring this university, Information about the individuals or organizations providing financial and administrative support to the university.,chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/KalgidharTrust.pdf
,information about the eligibility criteria , Details about the academic and non-academic requirements for admission to various programs offered by the university.,https://eternaluniversity.edu.in/apec
,Prospectus ," A comprehensive booklet or document that outlines the academic programs, admission process, campus facilities, and student life at the university.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/UniversityProspectus24-25.pdf
,Online PH.D. form," A form available on the university website for applicants wishing to apply for Ph.D. programs, including necessary fields for personal, academic, and research details.",https://eternaluniversity.edu.in/PhdEntranceForm
,Admission forms for new student,"Registration forms for new students, typically available online or in-person, allowing new applicants to enroll in university programs.",https://portal.eternaluniversity.edu.in/register
,Regisrtaion forms for old student,"Registration forms for returning or old students, often used to re-enroll, update student details, or register for upcoming semesters.",https://eternaluniversity.edu.in/OldRegistration
,offline application,"Offline application process for admission, where applicants can fill out forms manually and submit them to the university's admission office.",chrome-extension://gphandlahdpffmccakmbngmbjnjiiahp/https://eternaluniversity.edu.in/docs/AdmissionForm.pdf
,information about the fees structure,"Information about the fee structure, detailing tuition, hostel fees, lab charges, and other miscellaneous costs associated with each program.",https://eternaluniversity.edu.in/fee
,schlorship available,"Details on the scholarships available to students, including merit-based, need-based, and other financial aid options provided by the university.",https://eternaluniversity.edu.in/content/university-scholarships
